"Code","Deck_Type","Deck_Name","Name","Card_Type","Form","Attribute","Type","Color","Card_Level","DP","Play_Cost","Cost_Digievolution1","Level_Digievolution1","Cost_Digievolution2","Level_Digievolution2","Effect","Digivolve_Effect","Security_Effect"
"EX1-060","ThemeBooster","Classic Collection","LadyDevimon","Digimon","Ultimate","Virus","Fallen Angel","Purple","3",7000,7,3,"4",NA,NA,"[When Digivolving] You may trash the top 3 cards of your deck.","[Your Turn][Once Per Turn] When you play a Digimon from your trash, gain 1 memory.","-"
"EX1-061","ThemeBooster","Classic Collection","Myotismon","Digimon","Ultimate","Virus","Undead","Purple","3",7000,8,3,"4",NA,NA,"[Your Turn] When this Digimon digivolves into a Digimon card with [Myotismon] in its name in your hand, reduce the memory cost of the digivolution by 1.","[Your Turn] While this Digimon has [Myotismon] in its name, all of your Digimon with <Retaliation> can also attack your opponent's unsuspended level 4 or lower Digimon.","-"
"EX1-062","ThemeBooster","Classic Collection","SkullGreymon","Digimon","Ultimate","Virus","Undead","Purple","4",8000,8,3,"4",3,"4","<Security Attack +1> (This Digimon checks 1 additional security card.)[End of Attack] Delete this Digimon. [On Deletion] You may play 1 [Agumon] from your trash suspended without paying its memory cost.","-","-"
"EX1-063","ThemeBooster","Classic Collection","VenomMyotismon","Digimon","Mega","Virus","Dark Animal","Purple","5",12000,12,4,"5",NA,NA,"<Retaliation> (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)[When Attacking][Once Per Turn] You may play 1 purple level 4 or lower Digimon card with <Retaliation> from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate.","-","-"
"EX1-064","ThemeBooster","Classic Collection","Piedmon","Digimon","Mega","Virus","Wizard","Purple","6",11000,12,3,"5",NA,NA,"[On Play] Delete 4 of your opponent's unsuspended level 4 or lower Digimon. [Your Turn][Once Per Turn] When one of your opponent's Digimon is deleted, <Draw 1>. (Draw 1 card from your deck.)","-","-"
"EX1-065","ThemeBooster","Classic Collection","Diaboromon","Digimon","Mega","Unknown","Unidentified","White","4",11000,12,3,"5",NA,NA,"[Security] At the end of the battle, you may play 1 [Diaboromon] Token without paying its memory cost. (Diaboromon Tokens are level 6 white Digimon with a memory cost of 14, 3000 DP, and Mega/Unknown/Unidentified traits.) [Opponent's Turn] All of your [Diaboromon] gain <Blocker>. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-","-"
"EX1-065","ThemeBooster","Classic Collection","Diaboromon","Digimon","Mega","Unknown","Unidentified","White","6",11000,12,3,"5",NA,NA,"[Security] At the end of the battle, you may play 1 [Diaboromon] Token without paying its memory cost. (Diaboromon Tokens are level 6 white Digimon with a memory cost of 14, 3000 DP, and Mega/Unknown/Unidentified traits.) [Opponent's Turn] All of your [Diaboromon] gain <Blocker>. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-","-"
"EX1-073","ThemeBooster","Classic Collection","Machinedramon","Digimon","Mega","Virus","Machine","Black","6",11000,12,3,"5",3,"5","[On Play] You may place up to 5 level 5 red and/or black cards with [Cyborg] in their traits and different card numbers from your hand and/or trash in this Digimon's digivolution cards to gain 1 memory for each card placed.[All Turns] This Digimon's DP can't be reduced. [All Turns] When this Digimon would be deleted, you may trash 2 level 5 Digimon cards in this Digimon's digivolution cards to prevent this Digimon from being deleted.","-","-"
"EX1-066","ThemeBooster","Classic Collection","Analog Youth","Tamer","-","-","-","White",NA,NA,2,NA,NA,NA,NA,"[On Play] Reveal the top 3 cards of your deck. Add 1 Digimon card among them to your hand. Trash the remaining cards.  [All Turns] When one of your level 5 or higher Digimon with digivolution cards is deleted, you may suspend this Tamer. If you do, gain 1 memory, then hatch 1 Digi-Egg card to an empty space in your Breeding Area.","-","[Security] Play this card without paying its memory cost."
"EX1-067","ThemeBooster","Classic Collection","Baptism by Fire!","Option","-","-","-","Red",NA,NA,3,NA,NA,NA,NA,"[Main] Delete 1 of your opponent's Digimon with 6000 DP or less and <Blocker>.","-","[Security] Activate this card's [Main] effect."
"EX1-068","ThemeBooster","Classic Collection","Ice Wall!","Option","-","-","-","Blue",NA,NA,1,NA,NA,NA,NA,"[Main] All of your opponent's Digimon gain ""[When Attacking] Lose 2 memory"" until the end of their next turn.","-","[Security] Gain 2 memory."
"EX1-069","ThemeBooster","Classic Collection","Ultimate Connection!","Option","-","-","-","Black",NA,NA,1,NA,NA,NA,NA,"[Main] You may trash 1 level 5 Digimon card with [Cyborg] in its traits in your hand to gain 2 memory and <Draw 1>. (Draw 1 card from your deck.)","-","[Security] Activate this card's [Main] effect."
"EX1-070","ThemeBooster","Classic Collection","Fight for Your Pride!","Option","-","-","-","Purple",NA,NA,4,NA,NA,NA,NA,"[Main] Play 1 purple level 4 or lower Digimon card from your trash without paying its memory cost. Then, if you have a Digimon with [Myotismon] in its name in play, 1 of your Digimon gains <Blocker> until the end of your opponent's next turn. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-","[Security] Play 1 purple level 4 or lower Digimon card from your trash without paying its memory cost."
"EX1-071","ThemeBooster","Classic Collection","Win Rate: 60%!","Option","-","-","-","White",NA,NA,2,NA,NA,NA,NA,"If you have a Tamer in play, you may use this Option card without meeting its color requirements.[Main] The next time one of your Digimon digivolves this turn, you may trash 1 Digimon card in your hand of the same color as the digivolving Digimon to reduce the memory cost of the digivolution by 4.","-","[Security] Add this card to its owner's hand."
"EX1-072","ThemeBooster","Classic Collection","Emergency Program Shutdown!","Option","-","-","-","White",NA,NA,3,NA,NA,NA,NA,"[Main] Your opponent can't use Option cards until the end of their next turn.","-","[Security] Your opponent can't use Option cards this turn. Then, add this card to its owner's hand."
"BT7-001","Booster","Next Adventure","Kapurimon","Digi-Egg","In-Training","-","Lesser","Red","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn] While you have a Tamer in play, this Digimon gets +1000 DP.","-"
"BT7-002","Booster","Next Adventure","Bukamon","Digi-Egg","In-Training","-","Lesser","Blue","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn][Once Per Turn] When you play a Digimon from one of your Digimon's digivolution cards, gain 1 memory.","-"
"BT7-003","Booster","Next Adventure","Pusurimon","Digi-Egg","In-Training","-","Lesser","Yellow","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn] When this card is trashed due to activating this Digimon's <Digi-Burst>, 1 of your opponent's Digimon gets -1000 DP for the turn.","-"
"BT7-004","Booster","Next Adventure","Koromon","Digi-Egg","In-Training","-","Lesser","Green","2",NA,NA,NA,NA,NA,NA,"-","[When Attacking] Reveal the top card of your deck, and place it at the top or bottom of your deck.","-"
"BT7-005","Booster","Next Adventure","Dorimon","Digi-Egg","In-Training","-","Lesser/X-Antibody","Black","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn][Once Per Turn] When one of your effects places a digivolution card under this Digimon, <Draw 1>. (Draw 1 card from your deck.)","-"
"BT7-006","Booster","Next Adventure","Kokomon","Digi-Egg","In-Training","-","Lesser","Purple","2",NA,NA,NA,NA,NA,NA,"-","[When Attacking] You may reveal the top 3 cards of your deck. Trash 1 Tamer card among them. Place the remaining cards at the bottom of your deck in any order.","-"
"BT7-007","Booster","Next Adventure","ToyAgumon","Digimon","Rookie","Vaccine","Puppet","Red","3",3000,2,0,"2",NA,NA,"-","-","-"
"BT7-008","Booster","Next Adventure","Flamemon","Digimon","Hybrid","Variable","Wizard","Red","3",1000,3,0,"2",NA,NA,"[On Play] Reveal the top 4 cards of your deck. Add 1 card with [Hybrid] in its traits, [Susanoomon], or [Takuya Kanbara] among them to your hand. Place the remaining cards at the bottom of your deck in any order.","[On Deletion] You may play 1 [Takuya Kanbara] from your hand without paying its memory cost.","-"
"BT7-009","Booster","Next Adventure","Huckmon","Digimon","Rookie","Data","Mini Dragon","Red","4",3000,4,0,"2",NA,NA,"-","[When Attacking][Once Per Turn] Reveal the top 5 cards of your deck. Add all cards with [Sistermon] in their names among them to your hand. Place the remaining cards at the bottom of your deck in any order.","-"
"BT7-010","Booster","Next Adventure","Tuskmon","Digimon","Champion","Virus","Dinosaur","Red","4",5000,4,2,"3",NA,NA,"[When Digivolving] 1 of your Digimon gets +2000 DP for the turn.","-","-"
"BT7-011","Booster","Next Adventure","BurningGreymon ","Digimon","Hybrid","Variable","Dark Dragon","Red","5",6000,6,3,"3",1,"4","You may digivolve this card from your hand onto one of your red Tamers as if the Tamer is a level 3 red Digimon for a memory cost of 2. [When Digivolving] If a card with [Hybrid] in its traits or [Takuya Kanbara] is in this Digimon's digivolution cards, delete 1 of your opponent's Digimon with 4000 DP or less.","-","-"
"BT7-012","Booster","Next Adventure","Brachiomon","Digimon","Ultimate","Data","Plesiosaur","Red","5",10000,7,3,"4",NA,NA,"-","-","-"
"BT7-013","Booster","Next Adventure","MetalGreymon","Digimon","Ultimate","Vaccine","Cyborg","Red","5",7000,7,3,"4",NA,NA,"[On Play] If you have a Tamer in play, gain 2 memory. If you don't have a Tamer in play, you may play 1 red Tamer card from your hand without paying its memory cost.","[Your Turn][Once Per Turn] When one of your opponent's Digimon is deleted, gain 1 memory.","-"
"BT7-013","Booster","Next Adventure","MetalGreymon","Digimon","Ultimate","Vaccine","Cyborg","Red","6",7000,7,3,"4",NA,NA,"[On Play] If you have a Tamer in play, gain 2 memory. If you don't have a Tamer in play, you may play 1 red Tamer card from your hand without paying its memory cost.","[Your Turn][Once Per Turn] When one of your opponent's Digimon is deleted, gain 1 memory.","-"
"BT7-014","Booster","Next Adventure","Aldamon","Digimon","Hybrid","Variable","Wizard","Red","6",8000,8,3,"4",NA,NA,"When one of your Digimon with a Tamer card in its digivolution cards digivolves into this card in your hand, reduce the memory cost of the digivolution by 2. [When Digivolving] If a card with [Hybrid] in its traits is in this Digimon's digivolution cards, this Digimon gets +4000 DP for the turn.","[Your Turn] While this Digimon has [Hybrid] or [Ten Warriors] in its traits, it doesn't activate [Security] effects on Option cards it checks.","-"
"BT7-015","Booster","Next Adventure","AvengeKidmon","Digimon","Mega","Virus","Dragonkin","Red","6",11000,12,3,"5",NA,NA,"When playing this card from your hand, reduce its memory cost by 1 for each Option card in you and your opponent's trashes. [On Play] Return all cards with [Three Musketeers] in their traits and all Option cards from both players' trashes to the bottom of their owners' decks. If 7 or more cards were returned using this effect, delete 1 of your opponent's Digimon with [Three Musketeers] in its traits or 8000 DP or less.","-","-"
"BT7-016","Booster","Next Adventure","EmperorGreymon","Digimon","Hybrid","Variable","Dragon Warrior","Red","3",12000,12,4,"5",NA,NA,"[When Digivolving] <Blitz> (This Digimon can attack when your opponent has 1 or more memory.)[Your Turn][Once Per Turn] When this Digimon is blocked, unsuspend it, and gain 1 memory for each digivolution card this Digimon has with [Hybrid] in its traits.","-","-"
"BT7-017","Booster","Next Adventure","Chaosdramon","Digimon","Mega","Virus","Machine","Red","4",12000,12,4,"5",4,"5","Your [Machinedramon] can digivolve into this card in your hand for a memory cost of 1, ignoring this card's digivolution requirements. [When Digivolving] You may place 1 red or black level 5 card with [Cyborg] in its traits from your hand or trash on top of this card's digivolution cards to delete 1 of your opponent's Digimon with 6000 DP or less for each level 5 card with [Cyborg] in its traits in this Digimon's digivolution cards.","-","-"
"BT7-018","Booster","Next Adventure","Gomamon","Digimon","Rookie","Vaccine","Sea Beast","Blue","4",3000,3,0,"2",NA,NA,"[On Play] When played from digivolution cards, <Draw 2>. (Draw 2 cards from your deck.)","-","-"
"BT7-019","Booster","Next Adventure","Strabimon","Digimon","Hybrid","Variable","Beastkin","Blue","4",1000,3,0,"2",NA,NA,"[On Play] Reveal the top 4 cards of your deck. Add 1 card with [Hybrid] in its traits, [Susanoomon], or [Koji Minamoto] among them to your hand. Place the remaining cards at the bottom of your deck in any order.","[On Deletion] You may play 1 [Koji Minamoto] from your hand without paying its memory cost.","-"
"BT7-019","Booster","Next Adventure","Strabimon","Digimon","Hybrid","Variable","Beastkin","Blue","5",1000,3,0,"2",NA,NA,"[On Play] Reveal the top 4 cards of your deck. Add 1 card with [Hybrid] in its traits, [Susanoomon], or [Koji Minamoto] among them to your hand. Place the remaining cards at the bottom of your deck in any order.","[On Deletion] You may play 1 [Koji Minamoto] from your hand without paying its memory cost.","-"
"BT7-020","Booster","Next Adventure","Shellmon","Digimon","Champion","Data","Mollusk","Blue","5",6000,4,2,"3",NA,NA,"-","-","-"
"BT7-021","Booster","Next Adventure","Kumamon","Digimon","Hybrid","Variable","Beastkin","Blue","5",4000,5,2,"3",NA,NA,"You may digivolve this card from your hand onto one of your blue Tamers as if the Tamer is a level 3 blue Digimon. [When Digivolving] Trash 1 digivolution card from the bottom of 1 of your opponent's Digimon.","-","-"
"BT7-022","Booster","Next Adventure","KendoGarurumon","Digimon","Hybrid","Variable","Cyborg","Blue","5",6000,6,3,"3",1,"4","You may digivolve this card from your hand onto one of your blue Tamers as if the Tamer is a level 3 blue Digimon for a memory cost of 2. [When Digivolving] If a card with [Hybrid] in its traits or [Koji Minamoto] is in this Digimon's digivolution cards, this Digimon gains <Jamming> for the turn. (This Digimon can't be deleted in battles against Security Digimon.)","-","-"
"BT7-023","Booster","Next Adventure","Korikakumon","Digimon","Hybrid","Variable","Beast","Blue","6",6000,6,3,"3",1,"4","You may digivolve this card from your hand onto one of your blue Tamers as if the Tamer is a level 3 blue Digimon for a memory cost of 2. [When Digivolving] If a card with [Hybrid] in its traits or [Tommy Himi] is in this Digimon's digivolution cards, 1 of your opponent's Digimon with no digivolution cards can't attack or block until the end of their next turn.","-","-"
"BT7-024","Booster","Next Adventure","DaiPenmon","Digimon","Hybrid","Variable","Cyborg","Blue","6",7000,7,3,"4",NA,NA,"[When Digivolving] For each Digimon your opponent has with no digivolution cards, <Draw 1>. (Draw 1 card from your deck.) [Opponent's Turn] While a card with [Hybrid] in its traits is in this Digimon's digivolution cards, none of your opponent's level 3 Digimon can attack.","-","-"
"BT7-025","Booster","Next Adventure","Beowolfmon","Digimon","Hybrid","Variable","Warrior","Blue","6",7000,7,3,"4",NA,NA,"When one of your Digimon with a Tamer card in its digivolution cards digivolves into this card in your hand, reduce the memory cost of the digivolution by 2. [When Attacking] You may return 1 card with [Hybrid] in its traits from this Digimon's digivolution cards to your hand to return 1 of your opponent's level 4 or lower Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon.","-","-"
"BT7-026","Booster","Next Adventure","WereGarurumon","Digimon","Ultimate","Vaccine","Beastkin","Blue","3",7000,7,3,"4",NA,NA,"[On Play] If you have a Tamer in play, gain 2 memory. If you don't have a Tamer in play, you may play 1 blue Tamer card from your hand without paying its memory cost.","[Your Turn][Once Per Turn] When this Digimon becomes unsuspended during your main phase, gain 1 memory.","-"
"BT7-027","Booster","Next Adventure","Whamon","Digimon","Ultimate","Vaccine","Sea Animal","Blue","4",7000,8,3,"4",NA,NA,"[On Play] You may play 1 level 3 Digimon card from one of your Digimon's digivolution cards as another Digimon without paying its memory cost. If you do, you may place 1 blue Digimon card from your hand at the bottom of one of your Digimon's digivolution cards.","-","-"
"BT7-028","Booster","Next Adventure","KingWhamon","Digimon","Mega","Vaccine","Sea Animal","Blue","4",11000,12,4,"5",NA,NA,"[When Attacking] You may play 1 level 3 Digimon card or 1 [Whamon] from this Digimon's digivolution cards as another Digimon without paying its memory cost. [Your Turn] When you play a Digimon from one of your Digimon's digivolution cards, return 1 of your opponent's level 4 or lower Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon.","-","-"
"BT7-029","Booster","Next Adventure","MagnaGarurumon","Digimon","Hybrid","Variable","Cyborg","Blue","4",12000,12,4,"5",NA,NA,"[When Digivolving][When Attacking][Once Per Turn] You may return 1 card with [Hybrid] in its traits from this Digimon's digivolution cards to your hand to return 1 of your opponent's Digimon with the same level as the returned card to its owner's hand. Trash all of the digivolution cards of that Digimon. [Your Turn][Once Per Turn] When an effect adds a card to your hand, you may unsuspend 1 of your Digimon.","-","-"
"BT7-030","Booster","Next Adventure","AncientMegatheriummon","Digimon","Mega","Data","Ancient Animal/Ten Warriors","Blue","5",13000,13,5,"5",NA,NA,"[When Digivolving] For each card with [Hybrid] in its traits in this Digimon's digivolution cards, trash 1 digivolution card from the bottom of each of your opponent's Digimon. Then, for each Digimon your opponent has with no digivolution cards, <Draw 2>. (Draw 2 cards from your deck.) [On Deletion] You may play 1 blue level 4 or lower card with [Hybrid] in its traits from your hand without paying its memory cost.","-","-"
"BT7-031","Booster","Next Adventure","Herissmon","Digimon","Rookie","Data","Mammal","Yellow","5",2000,3,0,"2",NA,NA,"-","[Your Turn] When this card is trashed due to activating this Digimon's <Digi-Burst>, return this card to its owner's hand.","-"
"BT7-032","Booster","Next Adventure","Pulsemon","Digimon","Rookie","Vaccine","Beastkin","Yellow","6",2000,3,0,"2",NA,NA,"-","[When Attacking][Once Per Turn] If you have 3 security cards, gain 2 memory.","-"
"BT7-033","Booster","Next Adventure","Bulkmon","Digimon","Champion","Vaccine","Dragonkin","Yellow","6",5000,4,2,"3",NA,NA,"-","[Opponent's Turn] While you have 3 or more security cards, this Digimon gains <Blocker>. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-"
"BT7-034","Booster","Next Adventure","Filmon","Digimon","Champion","Data","Beastkin","Yellow","6",4000,5,2,"3",NA,NA,"[Main] <Digi-Burst 2> (Trash 2 of this Digimon's digivolution cards to activate the effect below.) ·1 of your opponent's Digimon gains <Security Attack -2> until the end of your opponent's next turn. (This Digimon checks 2 fewer security cards)","-","-"
"BT7-035","Booster","Next Adventure","Kazemon","Digimon","Hybrid","Variable","Fairy","Yellow","3",5000,5,2,"3",NA,NA,"You may digivolve this card from your hand onto one of your yellow Tamers as if the Tamer is a level 3 yellow Digimon.","-","-"
"BT7-036","Booster","Next Adventure","Zephyrmon","Digimon","Hybrid","Variable","Birdkin","Yellow","3",6000,6,3,"3",1,"4","You may digivolve this card from your hand onto one of your yellow Tamers as if the Tamer is a level 3 yellow Digimon for a memory cost of 2. [When Digivolving] If a card with [Hybrid] in its traits or [Zoe Orimoto] is in this Digimon's digivolution cards, all of your Security Digimon get +3000 DP until the end of your opponent's next turn.","-","-"
"BT7-037","Booster","Next Adventure","Boutmon","Digimon","Ultimate","Vaccine","Beastkin","Yellow","4",7000,6,3,"4",NA,NA,"-","[Opponent's Turn] When an opponent's Digimon attacks a player, if you have 3 or more security cards, unsuspend this Digimon.","-"
"BT7-038","Booster","Next Adventure","JetSilphymon","Digimon","Hybrid","Variable","Cyborg","Yellow","4",7000,7,3,"4",NA,NA,"When one of your Digimon with a Tamer card in its digivolution cards digivolves into this card in your hand, reduce the memory cost of the digivolution by 2. [When Digivolving] If a card with [Hybrid] in its traits is in this Digimon's digivolution cards, <Recovery +1 (Deck)>. (Place the top card of your deck on top of your security stack.)","-","-"
"BT7-039","Booster","Next Adventure","Stefilmon","Digimon","Ultimate","Data","Beastkin","Yellow","4",7000,8,3,"4",NA,NA,"[When Digivolving] If this Digimon has 1 digivolution card, you may place up to 2 level 4 or lower yellow Digimon cards from your hand at the bottom of this Digimon's digivolution cards in any order. Then, <Draw 1> for each Digimon card you placed. (Draw 1 card from your deck.)","[Your Turn] When this card is trashed due to activating this Digimon's <Digi-Burst>, 1 of your Digimon gains <Security Attack +1> for the turn. (This Digimon checks 1 additional security card.)","-"
"BT7-040","Booster","Next Adventure","Rasenmon","Digimon","Mega","Data","Beastkin","Yellow","4",11000,11,5,"5",NA,NA,"When digivolving into this card from your hand, the memory cost of the digivolution is equal to the number of cards in your security stack. If you have 0 security cards, the memory cost is 1. [Main][Once Per Turn] <Digi-Burst up to 4> (Trash up to 4 of this Digimon's digivolution cards to activate the effect below.) ·1 of your opponent's Digimon gets -3000 DP for the turn for each card trashed by this card's effect.","-","-"
"BT7-040","Booster","Next Adventure","Rasenmon","Digimon","Mega","Data","Beastkin","Yellow","5",11000,11,5,"5",NA,NA,"When digivolving into this card from your hand, the memory cost of the digivolution is equal to the number of cards in your security stack. If you have 0 security cards, the memory cost is 1. [Main][Once Per Turn] <Digi-Burst up to 4> (Trash up to 4 of this Digimon's digivolution cards to activate the effect below.) ·1 of your opponent's Digimon gets -3000 DP for the turn for each card trashed by this card's effect.","-","-"
"BT7-041","Booster","Next Adventure","Kazuchimon","Digimon","Mega","Vaccine","Shaman","Yellow","5",12000,12,5,"5",NA,NA,"[When Digivolving] If you have 3 or more security cards, gain 2 memory. If you have 2 or fewer security cards, you may <Recovery +1 (Deck)> until there are 3 cards in your security stack. (Place the top card of your deck on top of your security stack.) [Your Turn] While you have 3 or more security cards, this Digimon gains <Security Attack +1>. (This Digimon checks 1 additional security card.)","-","-"
"BT7-042","Booster","Next Adventure","AncientKazemon","Digimon","Mega","Vaccine","Ancient Birdkin/Ten Warriors","Yellow","6",13000,13,5,"5",NA,NA,"[Opponent's Turn] While a card with [Hybrid] in its traits is in this Digimon's digivolution cards, all of your Security Digimon get +4000 DP. [On Deletion] You may play 1 yellow level 4 or lower card with [Hybrid] in its traits from your hand without paying its memory cost.","-","-"
"BT7-043","Booster","Next Adventure","Gotsumon","Digimon","Rookie","Data","Rock","Green","6",3000,3,0,"2",NA,NA,"[On Play] You may reveal 1 green Digimon card from your hand. If you do, place it on top of your deck.","-","-"
"BT7-044","Booster","Next Adventure","Betamon","Digimon","Rookie","Virus","Amphibian","Green","6",2000,3,0,"2",NA,NA,"[On Play] Reveal the top 3 cards of your deck. Add 1 green level 4 Digimon card or 1 green Tamer card among them to your hand. Place the remaining cards at the bottom of your deck in any order.","-","-"
"BT7-045","Booster","Next Adventure","Tortomon","Digimon","Champion","Vaccine","Reptile","Green","3",4000,4,2,"3",NA,NA,"-","[When Attacking] You may reveal 1 green Digimon card from your hand and place it on top of your deck to have this Digimon get +3000 DP for the turn.","-"
"BT7-046","Booster","Next Adventure","Beetlemon","Digimon","Hybrid","Variable","Cyborg","Green","3",5000,6,2,"3",NA,NA,"You may digivolve this card from your hand onto one of your green Tamers as if the Tamer is a level 3 Digimon. [When Digivolving] Reveal the top 5 cards of your deck. Add 1 card with [Hybrid] in its traits and 1 [J.P. Shibayama] among them to your hand. Place the remaining cards at the bottom of your deck in any order.","-","-"
"BT7-047","Booster","Next Adventure","MetalKabuterimon","Digimon","Hybrid","Variable","Cyborg","Green","4",6000,6,3,"3",1,"4","You may digivolve this card from your hand onto one of your green Tamers as if the Tamer is a level 3 green Digimon for a memory cost of 2. [When Digivolving] If a card with [Hybrid] in its traits or [J.P. Shibayama] is in this Digimon's digivolution cards, suspend 1 of your opponent's Digimon with 6000 DP or less.","-","-"
"BT7-048","Booster","Next Adventure","Monochromon","Digimon","Champion","Data","Ankylosaur","Green","4",8000,6,2,"3",NA,NA,"-","-","-"
"BT7-049","Booster","Next Adventure","MameTyramon","Digimon","Ultimate","Data","Mutant/X-Antibody","Green","4",5000,5,3,"4",NA,NA,"[When Attacking] Reveal the top 3 cards of your deck. You may digivolve this Digimon into a green level 6 card among them without paying its memory cost. Place the remaining cards at the bottom of your deck in any order.","-","-"
"BT7-050","Booster","Next Adventure","Triceramon","Digimon","Ultimate","Data","Ceratopsian","Green","4",7000,6,2,"4",NA,NA,"-","-","-"
"BT7-051","Booster","Next Adventure","RhinoKabuterimon","Digimon","Hybrid","Variable","Insectoid","Green","4",8000,9,3,"4",NA,NA,"When one of your Digimon with a Tamer card in its digivolution cards digivolves into this card in your hand, reduce the memory cost of the digivolution by 2. [When Attacking] If a card with [Hybrid] or [Insectoid] in its traits is in this Digimon's digivolution cards, this Digimon can digivolve into a Digimon card with [Insectoid] or [Ten Warriors] in its traits in your hand for a memory cost of 3.","-","-"
"BT7-052","Booster","Next Adventure","SaberLeomon","Digimon","Mega","Data","Ancient Animal","Green","5",10000,11,3,"5",NA,NA,"[When Digivolving] This Digimon gets +5000 DP for the turn. [On Deletion] Gain 2 memory.","-","-"
"BT7-053","Booster","Next Adventure","Dinorexmon","Digimon","Mega","Data","Dinosaur/X-Antibody","Green","5",12000,12,4,"5",NA,NA,"[When Digivolving] Suspend 1 of your opponent's Digimon. That Digimon doesn't unsuspend during their next unsuspend phase. [Your Turn] This Digimon gets +1000 DP for each of your opponent's suspended Digimon.","-","-"
"BT7-054","Booster","Next Adventure","AncientBeetlemon","Digimon","Mega","Vaccine","Ancient Insect/Ten Warriors","Green","6",13000,13,5,"5",NA,NA,"[Your Turn][Once Per Turn] When one of your Digimon with [Ten Warriors] or [Hybrid] in its traits deletes an opponent's Digimon in battle and survives, trash the top card of your opponent's security stack. [On Deletion] You may play 1 green level 4 or lower card with [Hybrid] in its traits from your hand without paying its memory cost.","-","-"
"BT7-055","Booster","Next Adventure","Ebonwumon","Digimon","Mega","Vaccine","Holy Beast/Four Sovereigns","Green","6",13000,13,5,"5",NA,NA,"[When Digivolving] Suspend 1 of your opponent's Digimon. Then, gain 1 memory for each of your opponent's suspended Digimon. [Opponent's Turn] All of your opponent's Digimon gain “[Your Turn] You must trash 1 card in your hand to unsuspend this Digimon.”","-","-"
"BT7-056","Booster","Next Adventure","Dorumon","Digimon","Rookie","Data","Beast/X-Antibody","Black","3",1000,3,0,"2",NA,NA,"[On Play] Reveal the top 3 cards of your deck. Add 1 card with [X-Antibody] in its traits and 1 [Kota Domoto] among them to your hand. Place the remaining cards at the bottom of your deck in any order.","[Your Turn][Once Per Turn] When one of your effects places a digivolution card under this Digimon, gain 1 memory.","-"
"BT7-057","Booster","Next Adventure","Monitamon","Digimon","Rookie","Data","CRT","Black","4",2000,3,0,"2",NA,NA,"[On Play] Reveal the top 3 cards of your deck. Add 1 card with [Knightmon] in its name or 1 [DeadlyAxemon] among them to your hand. Place the remaining cards at the bottom of your deck in any order.","-","-"
"BT7-058","Booster","Next Adventure","SkullKnightmon","Digimon","Champion","Virus","Undead","Black","4",3000,4,2,"3",NA,NA,"[When Attacking] You may trash all of the digivolution cards of 1 of your [DeadlyAxemon] and place it at the bottom of this Digimon's digivolution cards to digivolve this Digimon into a [DarkKnightmon] in your hand without paying its memory cost.","[Your Turn] While this Digimon has [Knightmon] or [Bagramon] in its name, it gains <Security Attack +1>. (This Digimon checks 1 additional security card.)","-"
"BT7-059","Booster","Next Adventure","DeadlyAxemon","Digimon","Champion","Virus","Dark Animal","Black","4",3000,4,2,"3",NA,NA,"[On Play] Reveal the top 5 cards of your deck. Add up to 2 cards with [Knightmon] in their names among them to your hand. Place the remaining cards at the bottom of your deck in any order.","[Your Turn] While this Digimon has [Knightmon] or [Bagramon] in its name, it gets +2000 DP.","-"
"BT7-060","Booster","Next Adventure","Grumblemon","Digimon","Hybrid","Variable","Demon","Black","4",5000,5,2,"3",NA,NA,"You may digivolve this card from your hand onto one of your black Tamers as if the Tamer is a level 3 black Digimon.","-","-"
"BT7-061","Booster","Next Adventure","Gigasmon","Digimon","Hybrid","Variable","Mineral","Black","4",6000,6,3,"3",NA,NA,"You may digivolve this card from your hand onto one of your black Tamers as if the Tamer is a level 3 black Digimon. <Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-","-"
"BT7-062","Booster","Next Adventure","Dorugamon","Digimon","Champion","Data","Beast Dragon/X-Antibody","Black","5",5000,6,2,"3",NA,NA,"[Opponent's Turn] While you have another Digimon in play with [X-Antibody] in its traits, or a card with [X-Antibody] in its traits is in this Digimon's digivolution cards, this Digimon gains <Blocker>. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","[All Turns] While this Digimon has [X-Antibody] in its traits, it gets +1000 DP.","-"
